suspect_name,weapon_mentions,total_lying_prob,good_suspect,statement_1,statement_2,statement_3,statement_4,statement_5,statement_6,statement_7,statement_8,statement_9,statement_10,lying_prob_1,lying_prob_2,lying_prob_3,lying_prob_4,lying_prob_5,lying_prob_6,lying_prob_7,lying_prob_8,lying_prob_9,lying_prob_10
Dannylo Correia,,,,I was with friends all night,We stayed together the whole time,The host greeted us warmly,The house was beautiful,I did not wander around,We left together,Nothing unusual happened,The evening was pleasant,Food was delicious,I enjoyed myself,0.18,0.14,0.21,0.16,0.19,0.12,0.23,0.15,0.2,0.17
Francisco Borlongan,0.0,0.13,0.0,,,,,,,,,,,,,,,,,,,,
Stephen Playford,,,,I know the host well,We talked for a while,The party was well organized,I stayed in the main room,I left before it ended,Everything was normal,The guests were friendly,Music was good,Drinks were fine,Nothing to report,0.21,0.17,0.14,0.23,0.16,0.19,0.12,0.2,0.15,0.18
Evan Bots,2.0,0.48,0.0,,,,,,,,,,,,,,,,,,,,
Grace Sparwasser,,,,I am an old friend,We reminisced all night,The host was nostalgic,I stayed in the living room,I left reluctantly,Everything was wonderful,The memories were sweet,Food reminded me of old times,Music was from our era,I loved it,0.22,0.17,0.2,0.15,0.18,0.13,0.21,0.16,0.19,0.14
Allie Britton,4.0,0.66,1.0,,,,,,,,,,,,,,,,,,,,
Braylen Burrell,1.0,0.54,1.0,,,,,,,,,,,,,,,,,,,,
Hailey Butusov,0.0,0.15,0.0,,,,,,,,,,,,,,,,,,,,
William Theisen,,,,I stayed in the study reading,The knife on the desk was ornate,Someone talked about poison plants,I saw rope in the closet,A bag was left unattended,The gas lamp was flickering,I heard gun references,The host was busy,I left early,Nothing caught my attention,0.79,0.85,0.73,0.81,0.77,0.84,0.69,0.78,0.82,0.76
Khiara Cho,0.0,0.18,0.0,,,,,,,,,,,,,,,,,,,,
Marcos Cisneros,2.0,0.56,1.0,,,,,,,,,,,,,,,,,,,,
Michael Conoyer,2.0,0.72,1.0,,,,,,,,,,,,,,,,,,,,
Alexander Nwanganga,,,,I was outside most of the time,The poison ivy in the garden was concerning,I saw someone with a gun holster,I heard about a knife collection,The bag by the door was heavy,I did not go upstairs,The rope swing was fun,I talked to many people,Gas grills were being used,Everything seemed normal,0.68,0.77,0.85,0.79,0.82,0.71,0.88,0.74,0.83,0.76
Elijah Cruz,1.0,0.52,0.0,,,,,,,,,,,,,,,,,,,,
Vedant Dashore,4.0,0.62,0.0,,,,,,,,,,,,,,,,,,,,
Veronica Dunne,3.0,0.82,1.0,,,,,,,,,,,,,,,,,,,,
Ahmed Elsedawy,0.0,0.19,0.0,,,,,,,,,,,,,,,,,,,,
Kathryn Fine,4.0,0.7,1.0,,,,,,,,,,,,,,,,,,,,
Annika Svensson,,,,I arrived alone,I mingled with guests,The host was busy hosting,I stayed in common areas,I left at midnight,Nothing caught my eye,The party was enjoyable,Music was loud,Food was great,I had a nice time,0.17,0.22,0.15,0.19,0.14,0.21,0.18,0.16,0.23,0.12
Christian Garcia,1.0,0.22,0.0,,,,,,,,,,,,,,,,,,,,
Jose Gonzalez,3.0,0.58,0.0,,,,,,,,,,,,,,,,,,,,
George Grady,4.0,0.58,0.0,,,,,,,,,,,,,,,,,,,,
Declan Huggins,0.0,0.16,0.0,,,,,,,,,,,,,,,,,,,,
Maureen Tremblay,,,,I arrived on time,The party was lovely,I talked to the host briefly about the knife collection,I stayed in one room,I left at a reasonable hour,Nothing seemed out of place,The decorations were nice,Food was excellent,Music was pleasant,I had a good time,0.53,0.55,0.52,0.54,0.53,0.55,0.54,0.53,0.54,0.54
Lapidoth Iyiola,0.0,0.14,0.0,,,,,,,,,,,,,,,,,,,,
Anika Joseph,1.0,0.51,0.0,,,,,,,,,,,,,,,,,,,,
Solbee Kang,1.0,0.19,0.0,,,,,,,,,,,,,,,,,,,,
Ella Trigiani,,,,I tagged along with a friend,I did not know the host,The party was crowded,I stayed near the exit,I left when my friend did,Nothing stood out,The atmosphere was busy,Food was average,Music was too loud,I was uncomfortable,0.21,0.16,0.19,0.14,0.17,0.22,0.15,0.2,0.13,0.18
Jeremy Kelly,1.0,0.25,0.0,,,,,,,,,,,,,,,,,,,,
Sarah Kuhn,1.0,0.24,0.0,,,,,,,,,,,,,,,,,,,,
Ralph Leonard,4.0,0.87,1.0,,,,,,,,,,,,,,,,,,,,
Victor Maples,4.0,0.88,1.0,,,,,,,,,,,,,,,,,,,,
Quinn Hynes,,,,I was helping in the pantry area,Someone mentioned a knife was sharp,The control number was posted,I carried supplies in a bag,Canisters were stored there,The twine was tangled,I heard safety talk,The host was stressed,I cleaned up afterwards,Everything was in order,0.51,0.53,0.5,0.52,0.51,0.53,0.5,0.52,0.51,0.52
Yohannes Mariam,2.0,0.71,1.0,,,,,,,,,,,,,,,,,,,,
Ryan McCarthy,3.0,0.81,1.0,,,,,,,,,,,,,,,,,,,,
Juan Montalvo Ferreiro,1.0,0.57,0.0,,,,,,,,,,,,,,,,,,,,
Juan Montoya,2.0,0.52,0.0,,,,,,,,,,,,,,,,,,,,
Drew Villhard,,,,I know several guests,We chatted all evening,The host seemed happy,I did not go upstairs,I left with others,Everything was fine,The decorations were festive,Food was amazing,Drinks were flowing,I enjoyed the party,0.2,0.15,0.18,0.13,0.21,0.16,0.19,0.22,0.14,0.17
Jorge Luis Moreno Melo,0.0,0.11,0.0,,,,,,,,,,,,,,,,,,,,
Charles-Henry N'Guessan,1.0,0.23,0.0,,,,,,,,,,,,,,,,,,,,
Benjamin Nelson,1.0,0.55,1.0,,,,,,,,,,,,,,,,,,,,
Jack Nero,2.0,0.69,1.0,,,,,,,,,,,,,,,,,,,,
Peter Nguyen,2.0,0.6,1.0,,,,,,,,,,,,,,,,,,,,
João Vitor Nunes Lima Ziliotto,4.0,0.91,1.0,,,,,,,,,,,,,,,,,,,,
Esosa Osayande,1.0,0.5,0.0,,,,,,,,,,,,,,,,,,,,
Francine Beni Marie Vudoti,,,,I was a plus one,I followed my date around,The host was polite,I did not explore,I left with my date,Everything seemed fine,The party was okay,Food was decent,Drinks were strong,I was bored,0.14,0.19,0.16,0.21,0.18,0.13,0.2,0.15,0.22,0.17
Brady Petersen,1.0,0.56,0.0,,,,,,,,,,,,,,,,,,,,
Turner Piercy,0.0,0.28,0.0,,,,,,,,,,,,,,,,,,,,
Nicholas Rask,4.0,0.84,1.0,,,,,,,,,,,,,,,,,,,,
Ray Yang,,,,I was there for work,I networked all evening,The host is a colleague,I stayed professional,I left on time,Everything was business,The contacts were valuable,Food was acceptable,Drinks were limited,I accomplished my goals,0.18,0.13,0.22,0.17,0.2,0.15,0.14,0.19,0.21,0.16
Magdalena Regenauer,1.0,0.58,0.0,,,,,,,,,,,,,,,,,,,,
Arda Kurama,,,,I was in the kitchen area,Someone mentioned poison prevention,The knife drawer was open,I saw a suspicious bag looking item,The stove was left on,I heard about rope tricks,Someone had a story to tell,I left the room briefly,The host seemed fine,I noticed nothing unusual,0.57,0.59,0.56,0.58,0.57,0.59,0.56,0.58,0.57,0.58
Matthew Zampino,,,,I came with my husband,We stayed near the bar,The host was charming,I did not explore the house,We left early,Nothing seemed wrong,The atmosphere was nice,Food was tasty,Drinks were good,I had fun,0.14,0.19,0.16,0.22,0.13,0.18,0.21,0.15,0.17,0.2
Joshua Rivadeneira,1.0,0.29,0.0,,,,,,,,,,,,,,,,,,,,
Abel Rupertus,0.0,0.17,0.0,,,,,,,,,,,,,,,,,,,,
Peter Ryan,0.0,0.12,0.0,,,,,,,,,,,,,,,,,,,,
Brian Sagon,3.0,0.65,1.0,,,,,,,,,,,,,,,,,,,,
Angel Salazar,0.0,0.21,0.0,,,,,,,,,,,,,,,,,,,,
Amir Samadian,3.0,0.78,1.0,,,,,,,,,,,,,,,,,,,,
Jimena Sanchez,1.0,0.27,0.0,,,,,,,,,,,,,,,,,,,,
York Zhou,,,,I came for the food,I stayed near the buffet,The host had great taste,I did not socialize much,I left satisfied,Nothing unusual,The spread was impressive,Food was the highlight,Drinks were secondary,I was content,0.15,0.2,0.17,0.22,0.13,0.18,0.21,0.14,0.16,0.19
Joseph Sardo,2.0,0.73,1.0,,,,,,,,,,,,,,,,,,,,
Kaiwen Shi,,,,I was in the living room all evening,I heard someone mention a knife in the kitchen,The host seemed nervous about something,I saw someone with a rope near the stairs,I never went near the pantry,I was talking to other guests,Someone mentioned poison in a drink,I left before midnight,The gas fireplace was on,I did not see anything suspicious,0.75,0.82,0.68,0.79,0.85,0.71,0.88,0.73,0.81,0.77
Luke Zimmermann,,,,I came with friends,We stayed together,The host was gracious,I did not wander,We left together,Everything was normal,The party was fun,Food was good,Drinks were cold,I enjoyed it,0.19,0.14,0.17,0.22,0.15,0.2,0.13,0.18,0.21,0.16
Will Schmidt,5.0,0.95,1.0,,,,,,,,,,,,,,,,,,,,
Brandon Schnetzer,3.0,0.62,1.0,,,,,,,,,,,,,,,,,,,,
